Timestamp, CPU Usage (%), Memory Usage (MB), Bytes Sent (MB), Bytes Received (MB), Sent Rate (MB/s), Receive Rate (MB/s)
2024-06-26 15:48:45,1.1,5639.07,56683.47,449537.41,0.00,0.00
2024-06-26 15:48:46,2.2,5638.22,56683.47,449537.41,0.00,0.00
2024-06-26 15:48:47,1.5,5638.00,56683.47,449537.41,0.00,0.00
2024-06-26 15:48:48,1.2,5637.99,56683.47,449537.41,0.00,0.00
2024-06-26 15:48:49,2.0,5638.50,56683.47,449537.41,0.00,0.00
2024-06-26 15:48:50,1.2,5638.52,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:51,1.5,5638.03,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:52,1.3,5638.54,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:53,1.8,5638.81,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:54,1.3,5638.32,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:55,1.0,5638.83,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:56,1.8,5638.84,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:57,1.8,5638.36,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:58,1.4,5638.87,56683.48,449537.42,0.00,0.00
2024-06-26 15:48:59,2.4,5638.88,56683.48,449537.42,0.00,0.00
2024-06-26 15:49:00,1.5,5638.40,56683.48,449537.43,0.00,0.00
2024-06-26 15:49:01,1.8,5638.91,56683.48,449537.43,0.00,0.00
2024-06-26 15:49:02,1.7,5638.93,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:03,2.0,5638.44,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:04,1.4,5638.43,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:05,2.2,5638.95,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:06,2.5,5638.99,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:07,2.0,5638.52,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:08,1.4,5639.05,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:09,2.2,5639.06,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:10,1.8,5638.58,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:11,1.3,5639.09,56683.49,449537.43,0.00,0.00
2024-06-26 15:49:12,1.1,5639.10,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:13,1.8,5638.57,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:14,1.3,5639.08,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:15,2.8,5639.24,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:16,2.3,5638.76,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:17,1.7,5639.01,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:18,1.3,5639.03,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:19,1.7,5638.55,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:20,2.3,5639.31,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:21,1.4,5638.86,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:22,1.9,5638.36,56683.50,449537.44,0.00,0.00
2024-06-26 15:49:23,2.3,5639.48,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:24,1.7,5639.50,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:25,1.8,5639.01,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:26,1.9,5639.52,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:27,1.5,5639.53,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:28,1.3,5639.03,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:29,2.6,5639.02,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:30,1.2,5639.54,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:32,15.1,5639.56,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:33,3.5,5639.11,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:34,3.9,5643.84,56683.51,449537.45,0.00,0.00
2024-06-26 15:49:35,3.3,5643.85,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:36,4.0,5643.37,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:37,3.3,5644.82,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:38,2.4,5644.06,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:39,2.4,5643.70,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:40,1.0,5643.95,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:41,1.0,5643.97,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:42,1.5,5643.46,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:43,1.6,5643.96,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:44,1.4,5643.98,56683.52,449537.46,0.00,0.00
2024-06-26 15:49:45,2.2,5644.17,56683.61,449537.51,0.09,0.05
2024-06-26 15:49:46,2.0,5645.76,56683.61,449537.51,0.00,0.00
2024-06-26 15:49:47,2.4,5645.77,56683.61,449537.51,0.00,0.00
2024-06-26 15:49:48,1.8,5645.28,56683.61,449537.51,0.00,0.00
2024-06-26 15:49:49,2.5,5645.78,56683.61,449537.51,0.00,0.00
2024-06-26 15:49:50,1.9,5645.80,56683.62,449537.51,0.00,0.00
2024-06-26 15:49:51,1.5,5645.50,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:52,2.4,5646.01,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:53,15.8,5646.02,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:54,3.4,5645.54,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:55,3.6,5646.16,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:56,3.5,5646.18,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:57,3.2,5645.70,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:58,2.6,5645.69,56683.62,449537.52,0.00,0.00
2024-06-26 15:49:59,1.6,5646.20,56683.62,449537.52,0.00,0.00
2024-06-26 15:50:00,1.2,5646.22,56683.63,449537.52,0.00,0.00
2024-06-26 15:50:01,1.1,5645.74,56683.63,449537.52,0.00,0.00
2024-06-26 15:50:02,1.3,5646.00,56683.63,449537.53,0.00,0.00
2024-06-26 15:50:03,1.5,5646.02,56683.63,449537.53,0.00,0.00
